YEAR,QUARTER,ID,INDUSTRY,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPIA,CPIB,CPIC,CPI5YR,CPI10,RCPI_0,RCPI_1,RCPI_2,RCPI_3,RCPI_4,RCPI_A,RCPI_B,RCPI_C,RCPI_5Y,RCPI_10Y
1984,1,2,,4.8,4.2,4.3,4.5,4.6,4.9,4.5,4.7,,,,,,,,,,,,,
1987,3,2,,4.9,4.9,4.4,4.6,4.7,5.1,3.8,4.7,,,,,,,,,,,,,
1988,1,2,,3.6,3.3,4.3,4.7,4.5,4.9,4.0,4.7,,,,,,,,,,,,,
1982,1,3,,6.1,3.9,7.1,8.3,7.7,7.0,7.0,7.4,,,,,,,,,,,,,
1982,2,3,,3.2,3.4,7.3,7.6,6.5,5.2,6.0,6.4,,,,-0.6999999999999997,-3.6999999999999997,-1.0000000000000009,-0.10000000000000053,-0.5,-1.0,-1.0,,,
1982,3,3,,6.2,8.5,5.6,6.1,4.9,6.7,6.5,6.2,,,,2.8000000000000003,1.2000000000000002,-2.0,-0.40000000000000036,-0.2999999999999998,0.5,-0.20000000000000018,,,
1981,3,4,,9.1,8.9,8.0,7.6,7.1,6.9,10.1,7.9,,,,,,,,,,,,,
1981,4,4,,11.9,10.5,7.5,8.0,6.3,6.0,10.5,8.5,,,,3.0,2.5,-0.09999999999999964,0.9000000000000004,-0.6000000000000005,0.40000000000000036,0.5999999999999996,,,
1982,2,4,,2.8,2.9,2.9,3.0,3.0,3.2,2.9,3.1,,,,,,,,,,,,,
1981,3,5,,7.5,9.2,8.2,7.3,7.6,8.0,4.9,7.9,,,,,,,,,,,,,
1981,4,5,,11.9,10.5,6.5,7.0,8.0,8.2,10.5,8.5,,,,2.700000000000001,2.3000000000000007,-0.7999999999999998,-0.5999999999999996,0.0,5.6,0.5999999999999996,,,
1982,1,5,,7.8,6.0,6.2,6.6,6.8,7.2,7.0,7.2,,,,-2.7,-0.5,-0.7999999999999998,-1.4000000000000004,-1.3999999999999995,-1.5,,,,
1982,2,5,,3.2,2.4,5.5,6.0,7.0,6.9,5.4,5.3,,,,-2.8,-3.8000000000000003,-1.0999999999999996,-0.7999999999999998,-0.20000000000000018,-1.5999999999999996,-1.9000000000000004,,,
1982,3,5,,4.6,8.5,6.5,6.3,6.2,6.0,6.5,6.0,,,,2.1999999999999997,3.0,0.5,-0.7000000000000002,-0.7000000000000002,1.0999999999999996,0.7000000000000002,,,
1982,4,5,,,,,,,,,,,,,,,,,,,,,,
1983,1,5,,2.6,3.5,3.7,4.2,4.5,5.0,4.1,4.8,,,,,,,,,,,,,
1983,2,5,,-0.4,3.5,4.6,4.8,4.9,4.9,3.0,4.7,,,,-3.9,-0.20000000000000018,0.39999999999999947,0.2999999999999998,-0.09999999999999964,-1.0999999999999996,-0.09999999999999964,,,
1983,3,5,,4.2,4.5,4.4,4.6,4.7,4.5,3.2,4.4,,,,0.7000000000000002,-0.09999999999999964,-0.39999999999999947,-0.3000000000000007,-0.20000000000000018,0.20000000000000018,-0.2999999999999998,,,
1983,4,5,,4.8,5.8,5.6,5.4,5.1,5.0,3.3,5.4,,,,0.2999999999999998,1.3999999999999995,1.0,0.7000000000000002,0.5999999999999996,0.09999999999999964,1.0,,,
1984,2,5,,5.0,4.8,5.0,5.3,5.5,5.7,4.7,5.6,,,,,,,,,,,,,
1984,3,5,,3.7,3.7,4.2,4.6,5.0,5.5,4.3,4.6,,,,-1.0999999999999996,-1.2999999999999998,-1.0999999999999996,-0.9000000000000004,-0.7000000000000002,-0.40000000000000036,-1.0,,,
1984,4,5,,3.6,4.0,4.1,4.3,4.5,4.6,4.2,4.3,,,,-0.10000000000000009,-0.20000000000000018,-0.5,-0.7000000000000002,-1.0,-0.09999999999999964,-0.2999999999999998,,,
1981,4,7,,12.0,7.0,9.1,8.9,8.7,8.1,10.4,9.0,,,,,,,,,,,,,
1981,4,9,,1.1,1.2,1.1,1.0,0.8,1.0,0.9,1.0,,,,,,,,,,,,,
1982,1,9,,,,,,,,,,,,,,,,,,,,,,
1982,2,9,,8.0,4.0,,-1.0,-3.0,-3.0,3.0,-3.0,,,,,,,,,,,,,
1982,3,9,,6.0,-4.0,-0.2,-4.0,-3.2,,5.0,-2.0,,,,2.0,,0.8,-1.0,-0.20000000000000018,2.0,1.0,,,
1982,4,9,,,,,,,,,,,,,,,,,,,,,,
1983,1,9,,0.1,-0.2,0.2,0.2,0.0,-1.1,1.0,-3.0,,,,,,,,,,,,,
1983,2,9,,-0.1,1.0,-1.0,-1.0,,-2.0,1.2,-2.0,,,,0.1,0.8,-1.2,-1.0,,0.19999999999999996,1.0,,,
1983,3,9,,1.3,0.7,,-0.5,-0.5,-0.5,1.3,-0.9,,,,0.30000000000000004,1.7,,,1.5,0.10000000000000009,1.1,,,
1983,4,9,,,,,,,,,,,,,,,,,,,,,,
1984,1,9,,3.5,0.9,-0.9,-0.9,0.0,-0.6,2.1,-1.1,,,,,,,,,,,,,
1984,2,9,,,,,,,,,,,,,,,,,,,,,,
1984,4,9,,,,,,,,,,,,,,,,,,,,,,
1985,1,9,,2.8,2.8,4.0,2.8,2.8,1.6,5.0,4.0,,,,,,,,,,,,,
1985,2,9,,,,,,,,,,,,,,,,,,,,,,
1985,3,9,,,,,,,,4.0,3.0,,,,,,,,,,,,,
1985,4,9,,,,,,,,,,,,,,,,,,,,,,
1986,1,9,,,,,,,,3.2,3.3,,,,,,,,,,,,,
1986,3,9,,,,,,,,1.0,3.0,,,,,,,,,,,,,
1986,4,9,,,,,,,,3.3,3.3,,,,,,,,,2.3,0.2999999999999998,,,
1987,1,9,,,,,,,,3.3,3.4,,,,,,,,,0.0,,,,
1987,2,9,,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,,,,,,,,0.10000000000000009,0.0,,,
1987,3,9,,3.4,3.4,3.4,3.5,3.5,3.5,3.4,3.5,,,,0.0,0.0,0.0,0.10000000000000009,0.10000000000000009,0.0,0.10000000000000009,,,
1988,2,9,,,,,,,,,,,,,,,,,,,,,,
1988,3,9,,,,,,,,,,,,,,,,,,,,,,
1988,4,9,,,,,,,,,,,,,,,,,,,,,,
1982,2,10,,3.0,2.8,6.0,6.5,6.8,6.8,5.7,6.5,,,,,,,,,,,,,
1983,4,10,,4.4,4.3,5.5,5.6,6.0,6.2,3.1,5.2,,,,,,,,,,,,,
1986,2,10,,-0.2,-0.3,1.7,3.4,4.4,4.3,2.5,3.5,,,,,,,,,,,,,
1981,3,12,,,,,,,,,,,,,,,,,,,,,,
1981,4,12,,,,,,,,,,,,,,,,,,,,,,
1982,2,12,,,,,,,,,,,,,,,,,,,,,,
1982,4,12,,,,,,,,,,,,,,,,,,,,,,
1983,1,12,,,,,,,,,,,,,,,,,,,,,,
1983,2,12,,,,,,,,,,,,,,,,,,,,,,
1983,3,12,,,,,,,,,,,,,,,,,,,,,,
1983,4,12,,,,,,,,,,,,,,,,,,,,,,
1984,1,12,,,,,,,,,,,,,,,,,,,,,,
1984,2,12,,,,,,,,,,,,,,,,,,,,,,
1984,4,12,,5.1,5.1,5.1,5.2,5.3,5.3,5.0,5.2,,,,,,,,,,,,,
1985,3,12,,3.0,3.0,3.0,4.0,4.0,4.0,2.9,4.0,,,,,,,,,,,,,
1985,4,12,,3.0,3.0,3.5,4.0,4.0,4.5,3.1,4.0,,,,0.0,0.0,-0.5,0.0,0.0,0.20000000000000018,0.0,,,
1986,2,12,,0.8,2.5,3.5,4.5,4.8,4.6,2.8,4.4,,,,,,,,,,,,,
1986,3,12,,0.0,2.5,2.8,3.3,3.8,4.3,1.6,3.9,,,,-2.5,-1.0,-1.7000000000000002,-1.5,-0.7999999999999998,-1.1999999999999997,-0.5000000000000004,,,
1986,4,12,,2.9,2.5,3.0,3.3,3.5,3.8,1.9,3.4,,,,0.3999999999999999,-0.2999999999999998,-0.2999999999999998,-0.5,-0.7999999999999998,0.2999999999999998,-0.5,,,
1987,1,12,,2.5,3.0,3.3,3.5,3.8,4.0,3.4,4.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1987,2,12,,4.5,5.4,4.7,4.7,4.0,4.6,4.8,4.3,,,,1.5,2.1000000000000005,1.2000000000000002,0.9000000000000004,0.0,1.4,-0.10000000000000053,,,
1988,1,12,,3.4,3.5,3.8,4.0,4.3,4.5,3.9,4.1,,,,,,,,,,,,,
1988,2,12,,2.4,4.0,4.3,4.5,4.8,5.0,3.8,5.2,,,,-1.1,0.20000000000000018,0.2999999999999998,0.20000000000000018,0.2999999999999998,-0.10000000000000009,1.1000000000000005,,,
1989,1,12,,4.8,5.2,5.6,6.2,6.6,7.0,5.4,6.7,,,,,,,,,,,,,
