ym,df_0,df_1,df_2,df_3,df_4
1990-01,,,,,
1990-02,.050000191,.44999981,.55000019,.55000019,.55000019
1990-03,.050000191,.25,.57999992,.8499999,1.4499998
1990-04,,,,,
1990-05,-.050000191,.55000019,1.5,2.25,2.25
1990-06,,,,,
1990-07,.14999962,.25,.44999981,.3499999,.25
1990-08,0,.19999981,.30000019,.3499999,.19999981
1990-09,,,,,
1990-10,.19999981,.5,.69999981,.5999999,.69999981
1990-11,.079999924,.25,.44999981,.5999999,.5999999
1990-12,-.050000191,-.050000191,.25,.25,.25
1991-01,,,,,
1991-02,.1500001,.44999981,.55000019,.5,.25
1991-03,-.019999981,0,0,-.099999905,-.4000001
1991-04,,,,,
1991-05,-.1500001,-.050000191,-.25,-.4000001,-.44999981
1991-06,,,,,
1991-07,-.050000191,-.050000191,-.25,-.3499999,-.55000019
1991-08,-.17000008,-.30000019,-.5,-.5999999,-.80000019
1991-09,,,,,
1991-10,.4000001,.050000191,-.099999905,-.44999981,-.55000019
1991-11,-.099999905,-.25,-.44999981,-.75,-.9000001
1991-12,-.019999981,-.099999905,-.25,-.4000001,-.69999981
1992-01,,,,,
1992-02,.099999905,.20000005,0,-.25,-.5
1992-03,,,,,
1992-04,0,-.099999905,-.30000019,-.6500001,-1
1992-05,-.049999952,-.049999952,-.25,-.75,-.94999981
1992-06,,,,,
1992-07,-.049999952,-.1500001,-.55000019,-.8499999,-1.0999999
1992-08,-.049999952,-.049999952,-.25,-.6500001,-1
1992-09,,,,,
1992-10,.25,0,-.29999995,-.5999999,-1
1992-11,.13000011,0,-.20000005,-.5,-.9000001
1992-12,0,0,-.20000005,-.5,-.8499999
1993-01,,,,,
1993-02,0,-.099999905,-.4000001,-.6500001,-1
1993-03,0,0,-.099999905,-.3499999,-.5999999
1993-04,,,,,
1993-05,0,0,-.25,-.5,-.5
1993-06,,,,,
1993-07,0,-.29999995,-.5,-.5999999,-.79999995
1993-08,0,-.20000005,-.4000001,-.5999999,-.79999995
1993-09,0,0,-.29999995,-.5,-.70000005
1993-10,,,,,
1993-11,0,0,-.20000005,-.29999995,-.4000001
1993-12,0,-.049999952,-.20000005,-.3499999,-.29999995
1994-01,,,,,
1994-02,0,-.20000005,-.20000005,.099999905,.10000014
1994-03,0,0,.10000014,.20000005,0
1994-04,,,,,
1994-05,.10000014,.4000001,.19999981,0,0
1994-06,,,,,
1994-07,-.5,.099999905,.29999971,.30000019,.30000019
1994-08,0,0,.5,.30000019,0
1994-09,0,.099999905,.5,.5,.099999905
1994-10,,,,,
1994-11,0,.4000001,.5,.30000019,-.099999905
1994-12,0,.29999971,.60000038,.5,.19999981
1995-01,,,,,
1995-02,-.4000001,-1,-1,-1,-1
1995-03,-.099999905,-.30000019,-.5,-.5,-.5
1995-04,,,,,
1995-05,0,-.050000191,-.5,-.30000019,0
1995-06,,,,,
1995-07,.39999962,.5,.5,.5,.5
1995-08,0,.30000019,.30000019,.5,.5
1995-09,0,.30000019,.30000019,.30000019,.35000038
1995-10,,,,,
1995-11,.10000038,.30000019,.30000019,.30000019,.30000019
1995-12,.10000038,.25,.44999981,.44999981,.5
1996-01,.19999981,.30000019,.5,.5,.5
1996-02,,,,,
1996-03,.099999905,.25,.3499999,.44999981,.44999981
1996-04,,,,,
1996-05,-.050000191,-.050000191,.099999905,.25,.25
1996-06,,,,,
1996-07,-.10000038,-.25,-.25,-.25,-.050000191
1996-08,-.1500001,-.25,-.3499999,-.25,-.25
1996-09,0,-.1500001,-.25,-.25,-.1500001
1996-10,,,,,
1996-11,-.050000191,-.1500001,-.25,-.1500001,-.050000191
1996-12,-.050000191,-.050000191,-.050000191,-.050000191,-.050000191
1997-01,,,,,
1997-02,-.050000191,-.050000191,-.050000191,-.050000191,-.050000191
1997-03,-.050000191,-.050000191,-.050000191,-.050000191,-.050000191
1997-04,,,,,
1997-05,-.099999905,-.30000019,-.30000019,-.30000019,-.30000019
1997-06,,,,,
1997-07,-.099999905,-.30000019,-.30000019,-.099999905,0
1997-08,0,-.099999905,-.30000019,-.19999981,.25
1997-09,.03000021,-.1500001,-.20000029,.099999905,.75
1997-10,,,,,
1997-11,0,-.20000029,.099999905,.6500001,.75
1997-12,0,0,0,0,0
1998-01,,,,,
1998-02,0,0,0,0,.19999981
1998-03,0,0,0,0,.19999981
1998-04,,,,,
1998-05,0,0,0,0,.050000191
1998-06,,,,,
1998-07,0,0,0,0,0
1998-08,0,0,0,0,.050000191
1998-09,0,-.25,-.5,-.75,-.55000019
1998-10,,,,,
1998-11,.099999905,.1500001,.25,.3499999,.44999981
1998-12,0,.1500001,.25,.44999981,.44999981
1999-01,,,,,
1999-02,-.050000191,.050000191,.25,.25,.25
1999-03,-.050000191,-.050000191,-.050000191,-.050000191,-.050000191
1999-04,,,,,
1999-05,-.050000191,-.050000191,-.050000191,-.050000191,.099999905
1999-06,-.050000191,.049999714,.3499999,.44999981,.44999981
1999-07,,,,,
1999-08,0,.050000191,0,.44999981,.5
1999-09,,,,,
