YEAR,QUARTER,ID,INDUSTRY,RGDP2,RGDP3,RGDP4,RGDP5,RGDP6,RGDPA,RGDPB,RGDPC,RGDPD,RGDP10,LRGDP1,LRGDP2,LRGDP3,LRGDP4,LRGDP5,LRGDP6,LRGDPL,LRGDPA,LRGDPB,LRGDPC,LRGDPD
1975,1,7,,-6.571239883,-2.492620553,2.603079391,6.193404764,6.38601721,,,,,,803.6,790.06,785.09,790.15,802.11,814.62,821.1,,,,
1975,1,8,,-1.725898644,0.0,-0.159882055,2.503822839,2.726414667,,,,,,803.6,800.11,800.11,799.79,804.75,810.18,821.1,,,,
1975,1,14,,-11.24881614,1.003782088,8.167994385,12.36304683,5.260186459,,,,,,803.6,779.98,781.93,797.43,821.01,831.6,821.1,,,,
1975,1,15,,-3.181822296,-1.0546019,3.734103949,5.177741968,5.152478263,,,,,,803.6,797.13,795.02,802.34,812.53,822.8,821.1,,,,
1975,1,32,,-5.983311412,1.514912737,4.620444122,5.181779839,0.305200497,,,,,,803.6,791.3,794.28,803.3,813.51,814.13,821.1,,,,
1975,1,34,,-3.94233089,-0.52187765,0.317550076,5.492257907,7.37302348,,,,,,803.6,795.56,794.52,795.15,805.85,820.31,821.1,,,,
1975,1,38,,-6.244427511,2.409069394,3.437667417,5.749334495,6.02192444,,,,,,803.6,790.75,795.47,802.22,813.51,825.49,821.1,,,,
1975,1,39,,-8.0617162,-3.931076569,-1.399454909,-0.493737325,0.968233864,,,,,,803.6,786.89,779.04,776.3,775.34,777.21,821.1,,,,
1975,1,40,,-5.392612509,1.604436128,4.139667595,4.225540123,-100.0,,,,,,803.6,792.54,795.7,803.81,812.17,,821.1,,,,
1975,1,44,,-6.604346959,-1.745441901,2.127326108,4.694251267,5.402516021,,,,,,803.6,789.99,786.52,790.67,799.79,810.38,821.1,,,,
1975,1,46,,-6.958513728,1.600926733,6.22311021,6.029050046,6.411091263,,,,,,803.6,789.24,792.38,804.43,816.29,829.07,821.1,,,,
1975,1,47,,-5.148857692,-2.275262438,3.718478335,5.143262464,3.811185318,,,,,,803.6,793.05,788.5,795.73,805.77,813.34,821.1,,,,
1975,1,48,,-8.355793373,-8.329182493,-3.179668594,1.942818501,3.230741414,,,,,,803.6,786.26,769.35,763.16,766.84,772.96,821.1,,,,
1975,1,49,,-6.301325939,-0.982911183,5.924270682,4.369225316,4.864272601,,,,,,803.6,790.63,788.68,800.11,808.71,818.37,821.1,,,,
1975,1,54,,,,,,,,,,,,,,,,,,821.1,,,,
1975,1,57,,-2.049757597,4.729846591,5.686548442,6.029277324,7.139537153,,,,,,803.6,799.45,808.74,820,832.09,846.56,821.1,,,,
1975,1,59,,-6.671621311,3.985901523,6.77156386,7.95853049,4.225414977,,,,,,804.05,790.29,798.05,811.23,826.91,835.51,821.1,,,,
1975,1,60,,-6.092571679,-0.675843649,4.302071063,4.484015761,1.615866956,,,,,,803.6,791.07,789.73,798.09,806.89,810.13,821.1,,,,
1975,1,64,,-8.130069122,-0.941003274,-1.301503848,1.855979713,4.548083864,,,,,,804.73,787.85,785.99,783.42,787.03,795.83,821.1,,,,
1975,1,65,,-6.698890122,0.238250527,3.434661379,5.030990372,6.581869724,,,,,,803.6,789.79,790.26,796.96,806.8,819.76,821.1,,,,
1975,1,70,,-0.962163346,-1.789131818,-0.993706678,5.564326608,6.757857352,,,,,,803.6,801.66,798.05,796.06,806.91,820.21,821.1,,,,
1975,1,73,,-5.459443332,-2.386219954,5.868720059,6.963798612,8.845274697,,,,,,803.6,792.4,787.63,798.94,812.5,829.9,821.1,,,,
1975,1,77,,-15.32038932,2.560821208,7.08533008,11.47334447,13.2481632,,,,,,800.56,767.96,772.83,786.17,807.81,833.33,821.1,,,,
1975,1,82,,-2.695073495,-1.2619476,6.434231632,4.627130226,3.872492678,,,,,,803.6,798.13,795.6,808.1,817.29,825.09,821.1,,,,
1975,1,84,,-4.712752941,-2.312286392,2.480526155,4.746136923,6.31784858,,,,,,803.6,793.96,789.33,794.18,803.44,815.84,821.1,,,,
1975,1,93,,-5.502387303,0.460208231,12.1180636,5.939995171,-13.22418846,,,,,,803.6,792.31,793.22,816.23,828.09,799.24,821.1,,,,
1975,1,96,,-6.927393712,1.218759647,3.589986823,4.514056109,5.947998515,,,,,,802.25,787.98,790.37,797.37,806.22,817.95,821.1,,,,
1975,1,98,,-4.458065895,0.110808894,3.564955503,5.987479376,6.398016214,,,,,,803.6,794.49,794.71,801.7,813.44,826.15,821.1,,,,
1975,1,102,,-18.69011684,-16.5517792,3.787520057,0.522654085,0.54921397,,,,,,803.6,763.09,729.34,736.15,737.11,738.12,821.1,,,,
1975,1,109,,-4.712752941,-0.758576124,0.607093685,4.316898591,2.827215281,,,,,,803.6,793.96,792.45,793.65,802.08,807.69,821.1,,,,
1975,1,111,,,,,,,,,,,,,,,,,,821.1,,,,
1975,1,112,,-5.349631131,-2.117638331,5.12350086,3.909173231,5.391041997,,,,,,803.6,792.63,788.4,798.31,806,816.65,821.1,,,,
1975,1,117,,0.01991189,-0.243667331,2.706493039,3.193901824,5.458590273,,,,,,803.6,803.64,803.15,808.53,814.91,825.81,821.1,,,,
1975,1,120,,-3.661902491,-0.776486218,3.023919129,5.345456499,4.702047639,,,,,,803.6,796.14,794.59,800.53,811.02,820.39,821.1,,,,
1975,1,124,,-0.586064455,-1.841534913,4.27366816,5.853420287,12.06059349,,,,,,803.6,802.42,798.7,807.1,818.66,842.3,821.1,,,,
1975,1,125,,-16.76379776,-18.55898077,-2.402717161,35.25111508,29.233265,,,,,,803.6,767.57,729.17,724.75,781.58,833.33,821.1,,,,
1975,1,134,,-10.82228093,-0.513729141,6.2280557,7.813831021,4.050643646,,,,,,807.69,784.89,783.88,795.81,810.92,819.01,821.1,,,,
1975,1,144,,-7.283456637,-1.833681437,1.929955794,5.543581792,5.337688054,,,,,,803.6,788.55,784.91,788.67,799.38,809.84,821.1,,,,
1975,1,145,,-2.699950049,-6.295811321,1.892946868,2.017777749,3.957057265,,,,,,803.6,798.12,785.25,788.94,792.89,800.62,821.1,,,,
1975,1,147,,-12.11043872,-14.16431027,-6.231299188,-5.286821266,-3.817344283,,,,,,803.6,778.08,748.93,736.98,727.04,720,821.1,,,,
1975,1,148,,-1.509546961,-2.077181716,-1.319454145,-0.19639805,-2.1653935,,,,,,803.6,800.55,796.36,793.72,793.33,789,821.1,,,,
1975,1,158,,-1.725898644,-0.164875278,2.575203119,2.477718765,5.057240308,,,,,,803.6,800.11,799.78,804.88,809.82,819.87,821.1,,,,
1975,1,170,,-6.958513728,-7.177550707,-7.498722933,-5.349061453,-4.568867042,,,,,,803.6,789.24,774.68,759.73,749.36,740.65,821.1,,,,
1975,2,14,,1.48082785,7.734495157,9.02659576,8.229090794,7.606333043,,,,,,782.25,785.13,799.89,817.36,833.68,849.1,821.175,,,,
1975,2,15,,-0.805481359,6.436686091,5.754911578,6.593981671,4.363118753,,,,,,782.25,780.67,792.94,804.11,817.05,825.82,821.175,,,,
1975,2,31,,5.265476759,3.918219943,7.983454134,2.745132926,3.494113615,,,,,,782.25,792.35,800,815.51,821.05,828.13,821.175,,,,
1975,2,32,,2.045547908,4.022560402,6.19423406,7.083724747,7.980050351,,,,,,782.25,786.22,794.01,806.03,819.94,835.83,821.175,,,,
1975,2,34,,2.696060278,4.534996972,8.24055051,3.831383578,5.217142384,,,,,,782.25,787.47,796.25,812.17,819.84,830.33,821.175,,,,
1975,2,38,,6.573479809,6.688951052,8.324481182,7.666635716,6.839866485,,,,,,782.25,794.8,807.77,824.08,839.44,853.44,821.175,,,,
1975,2,40,,6.627125302,8.132185008,8.168978426,7.238643956,6.605281848,,,,,,782.25,794.9,810.59,826.66,841.23,854.79,821.175,,,,
1975,2,43,,4.549906008,-0.856903891,4.194654353,4.487673902,-0.049603174,,,,,,782.25,791,789.3,797.45,806.25,806.15,821.175,,,,
1975,2,44,,0.245671835,7.548242675,7.779592503,6.914830951,7.046910521,,,,,,782.25,782.73,797.1,812.17,825.86,840.04,821.175,,,,
1975,2,47,,-1.079653484,7.190075675,6.697669933,4.855688783,4.58954387,,,,,,782.25,780.13,793.79,806.76,816.38,825.59,821.175,,,,
1975,2,48,,-6.818687475,-1.988741225,4.132042458,7.946900611,9.348252872,,,,,,782.25,768.56,764.71,772.49,787.4,805.19,821.175,,,,
1975,2,49,,0.681825909,5.070824429,6.802258541,5.925248048,6.19121978,,,,,,782.25,783.58,793.33,806.49,818.18,830.56,821.175,,,,
1975,2,51,,-1.843303686,1.930024248,3.953244218,5.502644168,5.917467845,,,,,,782.25,778.62,782.35,789.97,800.62,812.21,821.175,,,,
1975,2,54,,-0.612204056,1.965543215,3.442911369,5.186817344,6.411085819,,,,,,782.25,781.05,784.86,791.53,801.6,814.15,821.175,,,,
1975,2,57,,3.596243325,7.286944419,12.02627278,6.47347057,6.170892151,,,,,,782.25,789.19,803.19,826.32,839.38,852.04,821.175,,,,
1975,2,64,,-0.957869468,0.041012495,4.190099039,4.696892245,4.704666978,,,,,,782.25,780.37,780.45,788.5,797.6,806.82,821.175,,,,
1975,2,65,,0.95965032,6.557427795,7.04754023,6.889235253,7.508804572,,,,,,782.25,784.12,796.67,810.35,823.96,839.01,821.175,,,,
1975,2,70,,-1.26211888,5.250561681,5.150990081,5.178981279,6.007696836,,,,,,782.25,779.77,789.81,799.79,809.95,821.85,821.175,,,,
1975,2,73,,1.299993866,5.179339691,5.951615357,6.014607051,7.614955481,,,,,,782.25,784.78,794.75,806.32,818.18,833.33,821.175,,,,
1975,2,82,,-2.205867472,2.239938055,6.337928775,8.138192865,6.700164899,,,,,,782.25,777.9,782.22,794.33,810.02,823.26,821.175,,,,
1975,2,84,,-2.266196978,2.984831093,5.140112616,4.902351915,5.821940064,,,,,,782.25,777.78,783.52,793.4,802.95,814.39,821.175,,,,
1975,2,86,,0.184211487,6.468561874,7.115967596,4.097350252,5.134499947,,,,,,782.25,782.61,794.97,808.75,816.91,827.2,821.175,,,,
1975,2,87,,-1.170917764,3.207303238,4.070204625,4.987314756,5.35998237,,,,,,782.25,779.95,786.13,794.01,803.73,814.29,821.175,,,,
1975,2,89,,-1.631343134,5.074283108,7.864405686,8.044685621,7.138902623,,,,,,782.25,779.04,788.74,803.81,819.51,833.76,821.175,,,,
